Pokemon,cluster_p1,cluster_p2,tipo_dominante,segundo_tipo,nombre_cluster_p1,nombre_cluster_p2
Abomasnow,5,2,grass,ice,grass,ice
Abra,6,7,psychic,dark,psychic,psychic
Absol,9,0,dark,psychic,dark,dark
Accelgor,16,10,bug,poison,bug,bug
Aegislash,7,5,steel,rock,rock,rock
Aerodactyl,13,5,rock,flying,flying,rock
Aggron,7,5,rock,fighting,rock,rock
Aipom,10,1,dark,fighting,fighting,fighting
Alakazam,6,7,psychic,dark,psychic,psychic
Alomomola,3,3,water,psychic,water,water
Altaria,13,6,dragon,flying,flying,flying
Amaura,8,2,rock,ice,dragon,ice
Ambipom,10,1,dark,fighting,fighting,fighting
Amoonguss,5,8,grass,poison,grass,grass
Ampharos,11,11,electric,fighting,electric,electric
Anorith,7,5,rock,bug,rock,rock
Arbok,9,17,poison,dark,dark,poison
Arcanine,17,16,fire,fighting,fire,fire
Arceus,2,14,psychic,water,psychic,dragon
Arceus-Bug,2,14,psychic,water,psychic,dragon
Arceus-Dark,2,14,psychic,water,psychic,dragon
Arceus-Dragon,2,14,psychic,water,psychic,dragon
Arceus-Electric,2,14,psychic,water,psychic,dragon
Arceus-Fairy,2,14,psychic,water,psychic,dragon
Arceus-Fighting,2,14,psychic,water,psychic,dragon
Arceus-Fire,2,14,psychic,water,psychic,dragon
Arceus-Flying,2,14,psychic,water,psychic,dragon
Arceus-Ghost,2,14,psychic,water,psychic,dragon
Arceus-Grass,2,14,psychic,water,psychic,dragon
Arceus-Ground,2,14,psychic,water,psychic,dragon
Arceus-Ice,2,14,psychic,water,psychic,dragon
Arceus-Poison,2,14,psychic,water,psychic,dragon
Arceus-Psychic,2,14,psychic,water,psychic,dragon
Arceus-Rock,2,14,psychic,water,psychic,dragon
Arceus-Steel,2,14,psychic,water,psychic,dragon
Arceus-Water,2,14,psychic,water,psychic,dragon
Archen,13,5,rock,flying,flying,rock
Archeops,13,5,rock,flying,flying,rock
Ariados,16,10,poison,bug,bug,bug
Armaldo,7,5,rock,ground,rock,rock
Aromatisse,0,15,psychic,fairy,psychic,psychic
Aron,7,5,rock,steel,rock,rock
Articuno,13,2,ice,flying,flying,ice
Audino,14,15,psychic,fire,psychic,psychic
Aurorus,8,2,rock,ice,dragon,ice
Avalugg,7,2,ice,rock,rock,ice
Axew,8,14,dragon,dark,dragon,dragon
Azelf,6,7,psychic,fire,psychic,psychic
Azumarill,12,3,water,fighting,water,water
Azurill,3,3,water,ice,water,water
Bagon,8,14,dragon,fire,dragon,dragon
Baltoy,0,7,psychic,rock,psychic,psychic
Banette,4,13,ghost,dark,ghost,ghost
Barbaracle,7,5,rock,water,rock,rock
Barboach,3,3,water,ground,water,water
Basculin,12,3,water,ice,water,water
Bastiodon,7,5,rock,ground,rock,rock
Bayleef,5,8,grass,psychic,grass,grass
Beartic,12,2,ice,fighting,water,ice
Beautifly,16,10,bug,flying,bug,bug
Beedrill,16,10,poison,bug,bug,bug
Beheeyem,6,7,psychic,dark,psychic,psychic
Beldum,15,15,steel,psychic,none,psychic
Bellossom,5,8,grass,poison,grass,grass
Bellsprout,5,8,grass,poison,grass,grass
Bergmite,7,2,ice,rock,rock,ice
Bibarel,10,3,water,electric,fighting,water
Bidoof,10,1,electric,rock,fighting,fighting
Binacle,7,3,rock,water,rock,water
Bisharp,9,0,dark,rock,dark,dark
Blastoise,12,3,water,ice,water,water
Blaziken,17,16,fire,fighting,fire,fire
Blissey,14,1,psychic,rock,psychic,fighting
Blitzle,11,11,electric,psychic,electric,electric
Boldore,7,5,rock,ground,rock,rock
Bonsly,7,5,rock,dark,rock,rock
Bouffalant,8,1,rock,poison,dragon,fighting
Braixen,6,16,fire,psychic,psychic,fire
Braviary,13,6,flying,rock,flying,flying
Breloom,1,12,fighting,grass,fighting,fighting
Bronzong,0,7,psychic,rock,psychic,psychic
Bronzor,0,7,psychic,rock,psychic,psychic
Budew,5,8,grass,poison,grass,grass
Buizel,12,3,water,ice,water,water
Bulbasaur,5,8,grass,poison,grass,grass
Buneary,14,1,fighting,electric,psychic,fighting
Bunnelby,7,5,rock,ground,rock,rock
Burmy,15,10,bug,electric,none,bug
Butterfree,16,10,bug,flying,bug,bug
Cacnea,5,8,grass,poison,grass,grass
Cacturne,5,8,grass,fighting,grass,grass
Camerupt,7,5,fire,rock,rock,rock
Carbink,0,5,rock,psychic,psychic,rock
Carnivine,5,8,grass,dark,grass,grass
Carracosta,7,3,rock,water,rock,water
Carvanha,12,3,water,dark,water,water
Cascoon,15,4,poison,bug,none,poison
Castform,3,1,water,ice,water,fighting
Caterpie,15,4,bug,electric,none,poison
Celebi,6,7,psychic,grass,psychic,psychic
Chandelure,4,13,fire,psychic,ghost,ghost
Chansey,14,1,psychic,rock,psychic,fighting
Charmander,17,16,fire,dragon,fire,fire
Charmeleon,17,16,fire,dragon,fire,fire
Chatot,13,6,flying,psychic,flying,flying
Cherrim,5,8,grass,psychic,grass,grass
Cherubi,5,8,grass,psychic,grass,grass
Chesnaught,7,8,grass,fighting,rock,grass
Chespin,7,8,grass,fighting,rock,grass
Chikorita,5,8,grass,psychic,grass,grass
Chimchar,17,16,fire,fighting,fire,fire
Chimecho,6,7,psychic,ghost,psychic,psychic
Chinchou,3,3,water,electric,water,water
Chingling,6,7,psychic,ghost,psychic,psychic
Cinccino,14,1,electric,grass,psychic,fighting
Clamperl,3,3,water,ice,water,water
Clauncher,3,3,water,poison,water,water
Clawitzer,3,3,water,poison,water,water
Claydol,0,7,psychic,rock,psychic,psychic
Clefairy,14,15,psychic,fighting,psychic,psychic
Cleffa,14,15,psychic,fire,psychic,psychic
Cloyster,3,3,water,ice,water,water
Cobalion,7,5,fighting,rock,rock,rock
Cofagrigus,4,13,psychic,ghost,ghost,ghost
Combee,15,10,bug,flying,none,bug
Combusken,17,16,fire,fighting,fire,fire
Conkeldurr,1,12,fighting,rock,fighting,fighting
Corphish,12,3,water,dark,water,water
Corsola,3,5,rock,water,water,rock
Cottonee,5,8,grass,dark,grass,grass
Cradily,5,5,rock,grass,grass,rock
Cranidos,7,5,rock,fire,rock,rock
Crawdaunt,12,3,water,dark,water,water
Cresselia,6,7,psychic,ice,psychic,psychic
Croagunk,1,12,fighting,dark,fighting,fighting
Crobat,13,6,flying,poison,flying,flying
Croconaw,12,3,water,ice,water,water
Crustle,7,5,rock,ground,rock,rock
Cryogonal,3,2,ice,poison,water,ice
Cubchoo,12,2,ice,water,water,ice
Cubone,7,5,rock,fighting,rock,rock
Cyndaquil,17,16,fire,fighting,fire,fire
Darkrai,9,0,dark,psychic,dark,dark
Darmanitan,17,16,fire,fighting,fire,fire
Darumaka,17,16,fire,fighting,fire,fire
Dedenne,11,11,electric,grass,electric,electric
Deerling,5,8,grass,fighting,grass,grass
Deino,8,14,dragon,dark,dragon,dragon
Delcatty,14,1,electric,psychic,psychic,fighting
Delibird,12,2,ice,flying,water,ice
Delphox,6,16,fire,psychic,psychic,fire
Deoxys,6,7,psychic,fighting,psychic,psychic
Deoxys-Attack,6,7,psychic,fighting,psychic,psychic
Deoxys-Defense,6,7,psychic,fighting,psychic,psychic
Deoxys-Speed,6,7,psychic,fighting,psychic,psychic
Dewgong,3,3,water,ice,water,water
Dewott,12,3,water,ice,water,water
Dialga,8,14,dragon,rock,dragon,dragon
Diancie,0,5,rock,psychic,psychic,rock
Diggersby,7,12,fighting,ground,rock,fighting
Diglett,10,5,ground,rock,fighting,rock
Ditto,15,15,none,none,none,psychic
Dodrio,13,6,flying,dark,flying,flying
Doduo,13,6,flying,dark,flying,flying
Donphan,7,5,rock,poison,rock,rock
Doublade,7,5,steel,rock,rock,rock
Dragalge,3,17,poison,water,water,poison
Dragonair,8,14,dragon,water,dragon,dragon
Dragonite,8,14,dragon,flying,dragon,dragon
Drapion,9,17,poison,dark,dark,poison
Dratini,8,14,dragon,water,dragon,dragon
Drifblim,4,1,psychic,ghost,ghost,fighting
Drifloon,4,1,psychic,ghost,ghost,fighting
Drilbur,7,5,rock,ground,rock,rock
Drowzee,6,7,psychic,fighting,psychic,psychic
Druddigon,9,0,dark,dragon,dark,dark
Ducklett,13,6,flying,water,flying,flying
