Pokemon,cluster_p1,tipo_dominante,segundo_tipo
Abomasnow,5,grass,ice
Abra,6,psychic,dark
Absol,9,dark,psychic
Accelgor,16,bug,poison
Aegislash,7,steel,rock
Aerodactyl,13,rock,flying
Aggron,7,rock,fighting
Aipom,10,dark,fighting
Alakazam,6,psychic,dark
Alomomola,3,water,psychic
Altaria,13,dragon,flying
Amaura,8,rock,ice
Ambipom,10,dark,fighting
Amoonguss,5,grass,poison
Ampharos,11,electric,fighting
Anorith,7,rock,bug
Arbok,9,poison,dark
Arcanine,17,fire,fighting
Arceus,2,psychic,water
Arceus-Bug,2,psychic,water
Arceus-Dark,2,psychic,water
Arceus-Dragon,2,psychic,water
Arceus-Electric,2,psychic,water
Arceus-Fairy,2,psychic,water
Arceus-Fighting,2,psychic,water
Arceus-Fire,2,psychic,water
Arceus-Flying,2,psychic,water
Arceus-Ghost,2,psychic,water
Arceus-Grass,2,psychic,water
Arceus-Ground,2,psychic,water
Arceus-Ice,2,psychic,water
Arceus-Poison,2,psychic,water
Arceus-Psychic,2,psychic,water
Arceus-Rock,2,psychic,water
Arceus-Steel,2,psychic,water
Arceus-Water,2,psychic,water
Archen,13,rock,flying
Archeops,13,rock,flying
Ariados,16,poison,bug
Armaldo,7,rock,ground
Aromatisse,0,psychic,fairy
Aron,7,rock,steel
Articuno,13,ice,flying
Audino,14,psychic,fire
Aurorus,8,rock,ice
Avalugg,7,ice,rock
Axew,8,dragon,dark
Azelf,6,psychic,fire
Azumarill,12,water,fighting
Azurill,3,water,ice
Bagon,8,dragon,fire
Baltoy,0,psychic,rock
Banette,4,ghost,dark
Barbaracle,7,rock,water
Barboach,3,water,ground
Basculin,12,water,ice
Bastiodon,7,rock,ground
Bayleef,5,grass,psychic
Beartic,12,ice,fighting
Beautifly,16,bug,flying
Beedrill,16,poison,bug
Beheeyem,6,psychic,dark
Beldum,15,steel,psychic
Bellossom,5,grass,poison
Bellsprout,5,grass,poison
Bergmite,7,ice,rock
Bibarel,10,water,electric
Bidoof,10,electric,rock
Binacle,7,rock,water
Bisharp,9,dark,rock
Blastoise,12,water,ice
Blaziken,17,fire,fighting
Blissey,14,psychic,rock
Blitzle,11,electric,psychic
Boldore,7,rock,ground
Bonsly,7,rock,dark
Bouffalant,8,rock,poison
Braixen,6,fire,psychic
Braviary,13,flying,rock
Breloom,1,fighting,grass
Bronzong,0,psychic,rock
Bronzor,0,psychic,rock
Budew,5,grass,poison
Buizel,12,water,ice
Bulbasaur,5,grass,poison
Buneary,14,fighting,electric
Bunnelby,7,rock,ground
Burmy,15,bug,electric
Butterfree,16,bug,flying
Cacnea,5,grass,poison
Cacturne,5,grass,fighting
Camerupt,7,fire,rock
Carbink,0,rock,psychic
Carnivine,5,grass,dark
Carracosta,7,rock,water
Carvanha,12,water,dark
Cascoon,15,poison,bug
Castform,3,water,ice
Caterpie,15,bug,electric
Celebi,6,psychic,grass
Chandelure,4,fire,psychic
Chansey,14,psychic,rock
Charmander,17,fire,dragon
Charmeleon,17,fire,dragon
Chatot,13,flying,psychic
Cherrim,5,grass,psychic
Cherubi,5,grass,psychic
Chesnaught,7,grass,fighting
Chespin,7,grass,fighting
Chikorita,5,grass,psychic
Chimchar,17,fire,fighting
Chimecho,6,psychic,ghost
Chinchou,3,water,electric
Chingling,6,psychic,ghost
Cinccino,14,electric,grass
Clamperl,3,water,ice
Clauncher,3,water,poison
Clawitzer,3,water,poison
Claydol,0,psychic,rock
Clefairy,14,psychic,fighting
Cleffa,14,psychic,fire
Cloyster,3,water,ice
Cobalion,7,fighting,rock
Cofagrigus,4,psychic,ghost
Combee,15,bug,flying
Combusken,17,fire,fighting
Conkeldurr,1,fighting,rock
Corphish,12,water,dark
Corsola,3,rock,water
Cottonee,5,grass,dark
Cradily,5,rock,grass
Cranidos,7,rock,fire
Crawdaunt,12,water,dark
Cresselia,6,psychic,ice
Croagunk,1,fighting,dark
Crobat,13,flying,poison
Croconaw,12,water,ice
Crustle,7,rock,ground
Cryogonal,3,ice,poison
Cubchoo,12,ice,water
Cubone,7,rock,fighting
Cyndaquil,17,fire,fighting
Darkrai,9,dark,psychic
Darmanitan,17,fire,fighting
Darumaka,17,fire,fighting
Dedenne,11,electric,grass
Deerling,5,grass,fighting
Deino,8,dragon,dark
Delcatty,14,electric,psychic
Delibird,12,ice,flying
Delphox,6,fire,psychic
Deoxys,6,psychic,fighting
Deoxys-Attack,6,psychic,fighting
Deoxys-Defense,6,psychic,fighting
Deoxys-Speed,6,psychic,fighting
Dewgong,3,water,ice
Dewott,12,water,ice
Dialga,8,dragon,rock
Diancie,0,rock,psychic
Diggersby,7,fighting,ground
Diglett,10,ground,rock
Ditto,15,none,none
Dodrio,13,flying,dark
Doduo,13,flying,dark
Donphan,7,rock,poison
Doublade,7,steel,rock
Dragalge,3,poison,water
Dragonair,8,dragon,water
Dragonite,8,dragon,flying
Drapion,9,poison,dark
Dratini,8,dragon,water
Drifblim,4,psychic,ghost
Drifloon,4,psychic,ghost
Drilbur,7,rock,ground
Drowzee,6,psychic,fighting
Druddigon,9,dark,dragon
Ducklett,13,flying,water
Dugtrio,10,ground,rock
Dunsparce,7,rock,ghost
Duosion,0,psychic,rock
Durant,7,rock,bug
Dusclops,4,ghost,psychic
Dusknoir,4,ghost,psychic
Duskull,4,ghost,psychic
Dustox,16,bug,poison
Dwebble,7,rock,ground
Eelektrik,11,electric,poison
Eelektross,11,electric,dragon
Eevee,14,ground,psychic
Ekans,9,poison,dark
Electabuzz,11,fighting,electric
Electivire,11,electric,fighting
Electrike,11,electric,dark
Electrode,11,electric,dark
Elekid,11,electric,fighting
Elgyem,6,psychic,dark
Emboar,17,fire,fighting
Emolga,11,electric,flying
Empoleon,12,water,rock
Entei,17,fire,psychic
Escavalier,16,bug,fighting
Espeon,14,psychic,ground
Espurr,6,psychic,dark
Excadrill,7,ground,rock
Exeggcute,5,grass,psychic
Exeggutor,5,grass,psychic
Exploud,7,fire,fighting
Farfetch'd,13,flying,poison
Fearow,13,flying,dark
Feebas,3,water,ice
Fennekin,17,fire,psychic
Feraligatr,12,water,ice
Ferroseed,7,grass,rock
Ferrothorn,7,grass,rock
Finneon,3,water,ice
Flaaffy,11,electric,fighting
Flabebe,5,grass,psychic
Flareon,14,fire,fighting
Fletchinder,13,fire,flying
Fletchling,13,flying,fire
Floatzel,12,water,ice
Floette,5,grass,psychic
Floette-Eternal,5,grass,psychic
Florges,5,grass,psychic
Flygon,16,dragon,bug
Foongus,5,grass,poison
Forretress,7,rock,ground
Fraxure,8,dragon,dark
Frillish,4,water,psychic
Froakie,12,water,rock
Frogadier,12,water,ice
Froslass,4,ice,dark
Furfrou,14,dark,electric
Furret,10,fighting,water
Gabite,8,dragon,rock
Gallade,6,psychic,fighting
Galvantula,11,bug,electric
Garbodor,7,poison,rock
Gardevoir,6,psychic,ghost
Gastly,4,ghost,psychic
Gastrodon,3,water,poison
Genesect,11,bug,electric
Gengar,4,ghost,poison
Geodude,7,rock,fighting
Gible,8,dragon,rock
Gigalith,7,rock,ground
Girafarig,6,psychic,dark
Giratina,8,dragon,psychic
Giratina-Origin,8,dragon,psychic
Glaceon,14,ice,psychic
Glalie,7,ice,dark
Glameow,10,dark,water
Gligar,16,poison,rock
Gliscor,16,poison,rock
Gloom,5,grass,poison
Gogoat,5,grass,fighting
Golbat,13,flying,dark
Goldeen,3,water,ice
Golduck,12,water,psychic
Golem,7,rock,fighting
Golett,7,fighting,rock
Golurk,7,fighting,rock
Goodra,8,poison,dragon
Goomy,8,poison,water
Gorebyss,3,water,psychic
Gothita,6,psychic,dark
Gothitelle,6,psychic,dark
Gothorita,6,psychic,dark
Gourgeist,4,grass,psychic
Gourgeist-Large,15,none,none
Gourgeist-Small,15,none,none
Gourgeist-Super,15,none,none
Granbull,14,fighting,fire
Graveler,7,rock,fighting
Greninja,12,water,dark
Grimer,4,poison,fire
Grotle,5,grass,rock
Grovyle,5,grass,fighting
Growlithe,17,fire,fighting
Grumpig,6,psychic,fighting
Gulpin,4,poison,ghost
Gurdurr,1,fighting,rock
Gyarados,8,water,dragon
Happiny,14,psychic,fire
Hariyama,1,fighting,rock
Haunter,4,ghost,poison
