Pokemon,cluster_p2
Abomasnow,2
Abra,7
Absol,0
Accelgor,10
Aegislash,5
Aerodactyl,5
Aggron,5
Aipom,1
Alakazam,7
Alomomola,3
Altaria,6
Amaura,2
Ambipom,1
Amoonguss,8
Ampharos,11
Anorith,5
Arbok,17
Arcanine,16
Arceus,14
Arceus-Bug,14
Arceus-Dark,14
Arceus-Dragon,14
Arceus-Electric,14
Arceus-Fairy,14
Arceus-Fighting,14
Arceus-Fire,14
Arceus-Flying,14
Arceus-Ghost,14
Arceus-Grass,14
Arceus-Ground,14
Arceus-Ice,14
Arceus-Poison,14
Arceus-Psychic,14
Arceus-Rock,14
Arceus-Steel,14
Arceus-Water,14
Archen,5
Archeops,5
Ariados,10
Armaldo,5
Aromatisse,15
Aron,5
Articuno,2
Audino,15
Aurorus,2
Avalugg,2
Axew,14
Azelf,7
Azumarill,3
Azurill,3
Bagon,14
Baltoy,7
Banette,13
Barbaracle,5
Barboach,3
Basculin,3
Bastiodon,5
Bayleef,8
Beartic,2
Beautifly,10
Beedrill,10
Beheeyem,7
Beldum,15
Bellossom,8
Bellsprout,8
Bergmite,2
Bibarel,3
Bidoof,1
Binacle,3
Bisharp,0
Blastoise,3
Blaziken,16
Blissey,1
Blitzle,11
Boldore,5
Bonsly,5
Bouffalant,1
Braixen,16
Braviary,6
Breloom,12
Bronzong,7
Bronzor,7
Budew,8
Buizel,3
Bulbasaur,8
Buneary,1
Bunnelby,5
Burmy,10
Butterfree,10
Cacnea,8
Cacturne,8
Camerupt,5
Carbink,5
Carnivine,8
Carracosta,3
Carvanha,3
Cascoon,4
Castform,1
Caterpie,4
Celebi,7
Chandelure,13
Chansey,1
Charmander,16
Charmeleon,16
Chatot,6
Cherrim,8
Cherubi,8
Chesnaught,8
Chespin,8
Chikorita,8
Chimchar,16
Chimecho,7
Chinchou,3
Chingling,7
Cinccino,1
Clamperl,3
Clauncher,3
Clawitzer,3
Claydol,7
Clefairy,15
Cleffa,15
Cloyster,3
Cobalion,5
Cofagrigus,13
Combee,10
Combusken,16
Conkeldurr,12
Corphish,3
Corsola,5
Cottonee,8
Cradily,5
Cranidos,5
Crawdaunt,3
Cresselia,7
Croagunk,12
Crobat,6
Croconaw,3
Crustle,5
Cryogonal,2
Cubchoo,2
Cubone,5
Cyndaquil,16
Darkrai,0
Darmanitan,16
Darumaka,16
Dedenne,11
Deerling,8
Deino,14
Delcatty,1
Delibird,2
Delphox,16
Deoxys,7
Deoxys-Attack,7
Deoxys-Defense,7
Deoxys-Speed,7
Dewgong,3
Dewott,3
Dialga,14
Diancie,5
Diggersby,12
Diglett,5
Ditto,15
Dodrio,6
Doduo,6
Donphan,5
Doublade,5
Dragalge,17
Dragonair,14
Dragonite,14
Drapion,17
Dratini,14
Drifblim,1
Drifloon,1
Drilbur,5
Drowzee,7
Druddigon,0
Ducklett,6
Dugtrio,5
Dunsparce,1
Duosion,7
Durant,5
Dusclops,13
Dusknoir,13
Duskull,13
Dustox,10
Dwebble,5
Eelektrik,11
Eelektross,11
Eevee,1
Ekans,17
Electabuzz,1
Electivire,11
Electrike,11
Electrode,11
Elekid,11
Elgyem,7
Emboar,16
Emolga,11
Empoleon,3
